CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;211;0;0;0;4,48519;7,1;0;211
1;1509;NESTLE IOGURTE MORANGO 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1913;0;426;78;1,335098;1,9;0;1409
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;1,250G;1915;0;372;48;7,198749;11;0;1495
1;1511;NESTLE IOGURTE MORANGO 12X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;900G;964;0;223;75;5,47408;8,4;0;666
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;1,250G;567;0;108;12;7,198756;11;0;447
1;1513;CHAMYTO IOGURTE MORANGO 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;0;0;0;0;2,050649;3,2;0;0
1;1514;CHAMYTO IOGURTE LIQ MORANGO 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;0;0;0;0;4,93598;7,6527;0;0
1;1515;CHAMYTO IOGURTE LIQ MRG 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;0;0;1,502881;2,25;0;0
1;1521;CHAMYTO GO IOG LIQ MORANGO 24X100G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;1333;0;186;84;1,468563;2,5;0;1063
1;1522;NESTLE GREGO FRUTAS VERMELHAS 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,166857;1,7;0;0
1;1652;NESTLE GREGO MORANGO 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,167216;2;0;0
1;1653;NESTLE GREGO FLOCOS 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,167192;2;0;0
1;1668;NESTLE FLAN CARAMELO 8X400G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;400G;0;0;0;0;3,5935;4,25;0;0
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;302;0;135;24;1,36626;2,15;0;143
1;1699;NESTLE GREGO IOG FLOCOS 12X400G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;400G;0;0;0;0;4,053831;6,6;0;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;150G;0;0;0;0;2,572483;3,65;0;0
1;1796;NESTLE IOGURTE PEDACOS MORANGO 28X100G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;0;0;0;0;1,230028;1,907;0;0
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;55;0;6;18;4,200253;7,3;0;31
1;2332;NESTLE FLAN MORANGO 20X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;200G;0;0;0;0;1,927731;3,35;0;0
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;387;0;102;0;1,932267;2,8;0;285
1;2373;NINHO IOGURTE POLPA 6X720G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;720G;203;0;12;6;5,453459;7,75;0;185
1;1693;NINHO IOGURTE LIQ MACA E BANANA 24X100G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100H;405;0;102;48;1,957416;2,5;0;255
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;150G;0;0;0;0;2,573377;3,65;0;0
1;1697;CHANDELLE CHOCOLATE 6X720G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;720G;155;0;12;6;6,383532;13,3;0;137
1;1698;CHAMYTO LEITE FERM 21X6X120G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;120G;76;73;3;0;5,262812;8,3;73;-73
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;5993;0;788;198;2,869882;4,5;0;5007
